job_title,company,salary,location,classification,work_type,technical_skills,posted_date,job_id_url
Analytics Associate,Virgin Australia,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,SQL Analytics R Databricks Excel ai statistical r analytics mathematics Python Tableau Power BI,2024-10-25,https://www.seek.com.au/job/79721132?type=standout&ref=search-standalone&origin=cardTitle
Operations Analyst,Mintwell,"$80,000 – $100,000 per year",Sydney NSW,Account & Relationship Management (Banking & Financial Services),Full time,SQL R Mathematics Excel ai r Python Tableau sAs Power BI,2024-10-25,https://www.seek.com.au/job/79740726?type=standard&ref=search-standalone&origin=cardTitle
Data Management Analyst,Macquarie Group Limited,Competitive package and company benefits.,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,SQL R Excel ai r,2024-10-15,https://www.seek.com.au/job/79498476?type=standout&ref=search-standalone&origin=cardTitle
Data Scientist,St Vincent de Paul Society NSW,N/A,"Lewisham, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL R Excel ai r Power BI,2024-10-11,https://www.seek.com.au/job/79417312?type=standout&ref=search-standalone&origin=cardTitle
Data and Insights Analyst,1 and One Consulting Pty Ltd,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Contract/Temp,R Excel ai statistical r,2024-10-25,https://www.seek.com.au/job/79719251?type=standout&ref=search-standalone&origin=cardTitle
BI Data Analyst,Talent Insights Group Pty Ltd,N/A,Sydney NSW,Government - Federal (Government & Defence),Contract/Temp,SQL R ETL SAS AWS Excel ai r analytics Python Tableau,2024-10-12,https://www.seek.com.au/job/79441544?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst,Metcash Limited,N/A,"Macquarie Park, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R ai statistical r Tableau SAs Power BI,2024-10-08,https://www.seek.com.au/job/79348242?type=standout&ref=search-standalone&origin=cardTitle
Junior Data Analyst / Scientist,"Department of Planning, Housing and Infrastructure",N/A,Sydney NSW,Government - State (Government & Defence),Full time,SQL Analytics R ETL Excel ai r analytics aws Power BI,2024-10-25,https://www.seek.com.au/job/79741009?type=standout&ref=search-standalone&origin=cardTitle
Data/Senior Data Analysts,Honey Insurance,N/A,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,R r Excel ai,2024-10-15,https://www.seek.com.au/job/79502151?type=standout&ref=search-standalone&origin=cardTitle
Junior Pricing Analyst,Aged Care Quality and Safety Commission,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL quantitative R SAS AWS Excel ai statistical r analytics Python MATLAB,2024-10-11,https://www.seek.com.au/job/79437252?type=standout&ref=search-standalone&origin=cardTitle
Performance Analyst,RDA Research,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R r Excel ai,2024-10-04,https://www.seek.com.au/job/79257961?type=standout&ref=search-standalone&origin=cardTitle
Data Test Analyst :: $130K + Super :: Initial 12 Month FTC :: Hybrid,SBS Chief Content Office,N/A,"North Sydney, Sydney NSW",Analysts (Consulting & Strategy),Full time,R Excel ml ai r,2024-10-24,https://www.seek.com.au/job/79715619?type=standout&ref=search-standalone&origin=cardTitle
Senior Commercial Data Analyst,Sirius Technology NSW,AUD 120000 - 130000 per annum,Sydney NSW,Testing & Quality Assurance (Information & Communication Technology),Full time,R Excel ai statistical r analytics Power BI,2024-10-24,https://www.seek.com.au/job/79699693?type=standard&ref=search-standalone&origin=cardTitle
Supply Chain Analyst (Graduate),InvoCare Australia Pty Limited,Competitive salary and benefits,"Rhodes, Sydney NSW",Other (Retail & Consumer Products),Full time,Analytics R ai r sAs,2024-10-18,https://www.seek.com.au/job/79570532?type=standout&ref=search-standalone&origin=cardTitle
Metadata & Reporting Analyst,Refresco Australia Pty Ltd,"$65,000 – $70,000 per year","Condell Park, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,R Mathematics Excel ai r analytics,2024-10-24,https://www.seek.com.au/job/79715282?type=standout&ref=search-standalone&origin=cardTitle
HR Data Analyst & Administrator,Crown Equipment Pty Limited,"$75,000-$85,000","Smithfield, Sydney NSW",Other (Human Resources & Recruitment),Full time,R ETL Excel ai r analytics Python Tableau,2024-10-19,https://www.seek.com.au/job/79590896?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst,Prosperity Media,"$65,000 – $75,000 per year","Surry Hills, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL ai r excel Power BI,2024-10-18,https://www.seek.com.au/job/79570446?type=standard&ref=search-standalone&origin=cardTitle
Senior Data Analyst,ALDI Stores Australia,"$160,000 – $190,000 per year","Prestons, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R tableau ai Ai r analytics Python Power BI,2024-10-16,https://www.seek.com.au/job/79523905?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst,PM-Partners Group,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL ETL R Excel ai r analytics Python excel Tableau Power BI,2024-10-16,https://www.seek.com.au/job/79529502?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst,Correlate Resources,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,R Excel ai r excel,Posted 18h ago,https://www.seek.com.au/job/79754950?type=standout&ref=search-standalone&origin=cardTitle
Project Operations Performance Analyst,Aquatec,N/A,"North Sydney, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,R r Excel ai,2024-10-15,https://www.seek.com.au/job/79479994?type=promoted&ref=search-standalone&origin=cardTitle
Strategic Sales Analyst,Jemena,Generous salary + annual bonus and more!,"North Sydney, Sydney NSW","Analysis & Reporting (Mining, Resources & Energy)",Full time,R ai r analytics excel,2024-10-22,https://www.seek.com.au/job/79633034?type=promoted&ref=search-standalone&origin=cardTitle
Asset Performance Analyst/Power BI,Rec4Tech,Competitive Remuneration Salary or Day rate,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Mathematics ml ai r Python Power BI,2024-10-18,https://www.seek.com.au/job/79562018?type=standout&ref=search-standalone&origin=cardTitle
Senior Technical Data Analyst - AI Platforms,Transgrid,Base + 11.5% superannuation + Short Term Incentive,"Eastern Creek, Sydney NSW",Engineering - Network (Information & Communication Technology),Full time,SQL R Mathematics ai r analytics Power BI,2024-10-11,https://www.seek.com.au/job/79435831?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst - 12 Month Contract,Zurich Financial Services Australia,N/A,"North Sydney, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics ml ai AI Jira r Python ML,2024-10-12,https://www.seek.com.au/job/79440953?type=standout&ref=search-standalone&origin=cardTitle
Finance Data Analyst,Experis AU,Negotiable day rate,Sydney NSW,Other (Information & Communication Technology),Contract/Temp,SQL Analytics R SAS Excel ai r analytics,2024-09-27,https://www.seek.com.au/job/79125571?type=standout&ref=search-standalone&origin=cardTitle
Oracle EBS Data Analyst,News Corp Australia,N/A,"Surry Hills, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL R ml ai r Tableau Power BI,2024-10-10,https://www.seek.com.au/job/79390228?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst,HCM Australia,$813.00 + Super Per Day,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R ETL AWS Excel ai AI r Python Tableau python Power BI,2024-10-17,https://www.seek.com.au/job/79558073?type=standard&ref=search-standalone&origin=cardTitle
Research and Insights Analyst,Preacta Recruitment,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,SQL R ai r Python Tableau,2024-10-17,https://www.seek.com.au/job/79539739?type=standout&ref=search-standalone&origin=cardTitle
Senior Technical Data Analyst - ALTERYX / SQL,Network Ten,N/A,"Pyrmont, Sydney NSW","Other (Advertising, Arts & Media)",Full time,r ai,2024-10-23,https://www.seek.com.au/job/79689710?type=standout&ref=search-standalone&origin=cardTitle
Classification Analyst,Charterhouse,Competitive,Sydney NSW,Developers/Programmers (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-10,https://www.seek.com.au/job/79394008?type=standout&ref=search-standalone&origin=cardTitle
Marketing Data Analyst,Department of Health & Aged Care,N/A,Sydney NSW,Analysts (Consulting & Strategy)Government - Federal (Government & Defence),Full time,SQL R ETL ai r Power BI,Posted 21h ago,https://www.seek.com.au/job/79747365?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst,TMGM,N/A,Sydney NSW,Other (Information & Communication Technology),Full time,SQL R Databricks JIRA Excel ai r analytics Python Snowflake,2024-10-11,https://www.seek.com.au/job/79417244?type=standout&ref=search-standalone&origin=cardTitle
Senior Customer Insights Analyst,SG Fleet Group Ltd,N/A,"Pymble, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,SQL R Databricks Excel ai Jira r analytics excel Power BI,2024-10-08,https://www.seek.com.au/job/79346142?type=standout&ref=search-standalone&origin=cardTitle
Database Analyst,Colliers,No,Sydney NSW,Analysts (Real Estate & Property),Full time,R r Excel ai,2024-10-23,https://www.seek.com.au/job/79676551?type=standout&ref=search-standalone&origin=cardTitle
Data Scientist,CoreLogic,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,quantitative R Mathematics AWS Excel Quantitative statistical r analytics AI python,2024-10-11,https://www.seek.com.au/job/79420255?type=standout&ref=search-standalone&origin=cardTitle
Data and Analytics Specialist,Balance Recruitment,$120k to $140k plus Super and salary sacrifice,Sydney NSW,Other (Information & Communication Technology),Full time,excel R r ai,2024-10-15,https://www.seek.com.au/job/79499851?type=standard&ref=search-standalone&origin=cardTitle
2025 Graduate Program - Data Science and Analytics,GradConnection,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R AWS Power BI Excel ai r analytics Snowflake,2024-10-24,https://www.seek.com.au/job/79692907?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst / Machine Learning Engineer,Empower Energy,"$90,000 – $130,000 per year","Frenchs Forest, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,R AWS ai r analytics,2024-10-04,https://www.seek.com.au/job/79272768?type=standout&ref=search-standalone&origin=cardTitle
Data Business Analyst,MinterEllison,"Range of health, social and financial benefits",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,quantitative SQL R Mathematics AWS Excel r analytics Python ML,2024-10-10,https://www.seek.com.au/job/79407357?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst,Endeavour Group,N/A,"Surry Hills, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R Mathematics ai r analytics Tableau,2024-10-12,https://www.seek.com.au/job/79450871?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst Trainee - 6 Month Contract,Parklife Metro DC,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,Analytics R ai r analytics,2024-09-28,https://www.seek.com.au/job/79132728?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,BioScout,"$90,000 – $110,000 per year + Super + ESOP","Marrickville, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,R ai r analytics excel,2024-10-22,https://www.seek.com.au/job/79638817?type=promoted&ref=search-standalone&origin=cardTitle
Senior Acturial Analyst,Westfund Health Insurance,N/A,Sydney NSW,Analysis & Reporting (Banking & Financial Services),Full time,R r quantitative ai,2024-10-25,https://www.seek.com.au/job/79739505?type=promoted&ref=search-standalone&origin=cardTitle
Power BI Developer,Robert Half,$125k - $135k p.a. + Super,Sydney NSW,Developers/Programmers (Information & Communication Technology),Full time,R r Excel ai,2024-10-15,https://www.seek.com.au/job/79483355?type=standard&ref=search-standalone&origin=cardTitle
Strategic Sales Analyst,Erskine Oral Care,N/A,"Frenchs Forest, Sydney NSW",Analysis & Reporting (Sales),Part time,R Excel ai r analytics Power BI,2024-10-10,https://www.seek.com.au/job/79406606?type=standout&ref=search-standalone&origin=cardTitle
Data Scientist,Bluefin Resources Pty Limited,$120k - $135k p.a. + +super depending on experienc,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R Excel ai r analytics,2024-10-10,https://www.seek.com.au/job/79390882?type=standard&ref=search-standalone&origin=cardTitle
Commercial Analyst,efm Logistics Pty Ltd,N/A,"Pyrmont, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL Analytics R ETL Excel ai r Power Bi sas Power BI,Posted 20h ago,https://www.seek.com.au/job/79748646?type=standout&ref=search-standalone&origin=cardTitle
IT Data Governance Analyst,NEX Building Group,N/A,"Norwest, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,quantitative Analytics R SQL Mathematics ai statistical r analytics Python,2024-10-16,https://www.seek.com.au/job/79503738?type=standout&ref=search-standalone&origin=cardTitle
Finance Data Analyst,Talenza,$110k - $125k p.a. + + super,"Macquarie Park, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,R SQL r ai,2024-10-05,https://www.seek.com.au/job/79290752?type=standard&ref=search-standalone&origin=cardTitle
Power Bi Report Analyst/Developer,GWA Group Limited,Base Salary + Super + Laptop,"North Sydney, Sydney NSW",Database Development & Administration (Information & Communication Technology),Contract/Temp,SQL Analytics R ETL ai r analytics Power BI,2024-10-19,https://www.seek.com.au/job/79592654?type=standout&ref=search-standalone&origin=cardTitle
Financial Data Analyst,Sharp & Carter Finance & Accounting Syd,N/A,Sydney NSW,Analysis & Reporting (Accounting),Contract/Temp,SQL R Excel ai r,2024-10-16,https://www.seek.com.au/job/79513480?type=standout&ref=search-standalone&origin=cardTitle
Data Foundations Technical Business Analyst,Endeavour Group,N/A,"Surry Hills, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL Analytics R Excel ai r analytics Tableau,2024-10-16,https://www.seek.com.au/job/79523884?type=standout&ref=search-standalone&origin=cardTitle
Technical Data Analyst,Genesis IT Recruitment,N/A,"Ultimo, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R ETL AWS ai r Python Snowflake,2024-10-09,https://www.seek.com.au/job/79378649?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst - Data Governance (2-year fixed term),Australian Prudential Regulation Authority,N/A,Sydney NSW,"Policy, Planning & Regulation, Government - Federal (Government & Defence)",Contract/Temp,R Excel ai r excel,2024-10-23,https://www.seek.com.au/job/79668691?type=standout&ref=search-standalone&origin=cardTitle
Research Analyst,Standards Australia Ltd,8-month fixed term contract,Sydney NSW,Analysts (Consulting & Strategy),Full time,R Excel ai AI r excel Power BI,2024-10-15,https://www.seek.com.au/job/79499085?type=standout&ref=search-standalone&origin=cardTitle
Work from Home - Data Analysts (English speakers),TELUS International AI Inc.,N/A,Sydney NSW,Help Desk & IT Support (Information & Communication Technology),Part time,R AI r ai,2024-10-17,https://www.seek.com.au/job/79551206?type=standout&ref=search-standalone&origin=cardTitle
Senior Commerical Analyst,Services Australia,N/A,Sydney NSW,Government - Federal (Government & Defence),Full time,SQL ETL SAS ai r analytics excel,2024-10-21,https://www.seek.com.au/job/79624388?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer - Various Roles,Assurant Services Australia Pty Limited,N/A,"Auburn, Sydney NSW",Analysis & Reporting (Sales),Full time,R Excel ai r Tableau,2024-10-23,https://www.seek.com.au/job/79666460?type=standout&ref=search-standalone&origin=cardTitle
Senior Technical Data Analyst,Charterhouse,Up to $900 per day,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL R ETL ai r Power BI,2024-10-09,https://www.seek.com.au/job/79371674?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst Graduate,StewartBrown,N/A,"Chatswood, Sydney NSW",Analysts (Consulting & Strategy),Full time,R Excel ai r sAs,2024-10-23,https://www.seek.com.au/job/79688602?type=standout&ref=search-standalone&origin=cardTitle
Data Science Professional,CoreLogic,N/A,Sydney NSW,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,R Mathematics AWS ai statistical r,2024-10-23,https://www.seek.com.au/job/79671007?type=standout&ref=search-standalone&origin=cardTitle
Data Analytics Consultant,Auto & General,N/A,Sydney NSW,Consultants (Information & Communication Technology),Full time,SQL Analytics R ETL ai Ai r Power BI,2024-10-16,https://www.seek.com.au/job/79531003?type=standout&ref=search-standalone&origin=cardTitle
Finance Data Analyst,SG Fleet Group Ltd,N/A,"Pymble, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL Analytics R ai AI r analytics mathematics Python,2024-10-02,https://www.seek.com.au/job/79192446?type=standout&ref=search-standalone&origin=cardTitle
Application Support Analyst,BioScout,"$90,000 – $110,000 per year + Super + ESOP","Marrickville, Sydney NSW",Engineering - Software (Information & Communication Technology),Full time,SQL Analytics R ml ai r,2024-10-22,https://www.seek.com.au/job/79638817?type=promoted&ref=search-standalone&origin=cardTitle
Senior Analyst Model Validation,Secure Parking Pty Ltd.,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R Excel ml ai r,Posted 22h ago,https://www.seek.com.au/job/79744255?type=promoted&ref=search-standalone&origin=cardTitle
Senior Commerical Analyst,RSL LifeCare,N/A,"St Leonards, Sydney NSW",Developers/Programmers (Information & Communication Technology),Full time,R r Excel ai,2024-10-22,https://www.seek.com.au/job/79634945?type=standout&ref=search-standalone&origin=cardTitle
Business Intelligence Developer,Dicker Data Limited,N/A,"Kurnell, Sydney NSW",Analysis & Reporting (Sales),Full time,R Excel ai r analytics excel,2024-10-17,https://www.seek.com.au/job/79558686?type=standout&ref=search-standalone&origin=cardTitle
Business Analyst - Retail,Assurant Services Australia Pty Limited,N/A,"Auburn, Sydney NSW",Analysis & Reporting (Accounting),Full time,R Excel ai r Tableau,2024-10-23,https://www.seek.com.au/job/79665687?type=standout&ref=search-standalone&origin=cardTitle
Planning Analyst,Key Pharmaceuticals,"$105,000 – $125,000 per year","Macquarie Park, Sydney NSW",Planning (Retail & Consumer Products),Full time,Analytics R ai r analytics,2024-10-24,https://www.seek.com.au/job/79717126?type=standout&ref=search-standalone&origin=cardTitle
Workforce Analytics & Reporting Technical Lead,N/A,N/A,N/A,N/A,N/A,SQL Analytics R ETL Databricks ml ai Jira r analytics Power BI,2024-10-17,https://www.seek.com.au/job/79439262?type=standard&ref=search-standalone&origin=cardTitle
Power BI Consultant,Ethos BeathChapman,Competitive,Sydney NSW,Consultants (Information & Communication Technology),Full time,SQL Analytics Excel ml ai r analytics Power BI,2024-10-04,https://www.seek.com.au/job/79540160?type=standard&ref=search-standalone&origin=cardTitle
Interval Meter Data SME,Peoplebank Australia NSW,Competitive Salary,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,R ai r analytics excel,2024-10-22,https://www.seek.com.au/job/79256483?type=standout&ref=search-standalone&origin=cardTitle
Data Business Analyst (Regulatory Reporting),Jemena,Generous salary + annual bonus and more!,"North Sydney, Sydney NSW","Analysis & Reporting (Mining, Resources & Energy)",Full time,R Excel ai r Tableau Power BI,2024-10-25,https://www.seek.com.au/job/79633034?type=standout&ref=search-standalone&origin=cardTitle
Technical Business Analyst - Data,Bi3 Technologies,N/A,Sydney NSW,Consultants (Information & Communication Technology),Contract/Temp,SQL R ETL Excel ml ai r analytics excel Power BI,2024-10-11,https://www.seek.com.au/job/79725284?type=standard&ref=search-standalone&origin=cardTitle
Data Discovery Business Analyst,Correlate Resources,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R Excel ml ai r,2024-10-04,https://www.seek.com.au/job/79420266?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst (12 Month Contract),Komatsu Australia Pty Ltd,N/A,"Fairfield, Sydney NSW",Database Development & Administration (Information & Communication Technology),Full time,SQL R ETL POWER BI ai r Python Power BI,2024-10-04,https://www.seek.com.au/job/79251325?type=standout&ref=search-standalone&origin=cardTitle
Actuarial Analyst,Australian Schools Plus,N/A,Sydney NSW,Other (Education & Training),Part time,quantitative R ETL Mathematics Excel ml ai AI statistical r,2024-10-23,https://www.seek.com.au/job/79275377?type=standout&ref=search-standalone&origin=cardTitle
D365 Consultant with Power BI (Reporting),SCOR Services Asia Pacific Pte ltd,"$80,000 – $110,000 per year",Sydney NSW,Actuarial (Insurance & Superannuation),Full time,SQL R ai r Python ML Power BI,2024-10-02,https://www.seek.com.au/job/79675231?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst - Financial Crime,PM-Partners Group,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,SQL quantitative R Excel ai r mathematics Python,2024-10-18,https://www.seek.com.au/job/79195186?type=standout&ref=search-standalone&origin=cardTitle
Data Governance Business Analyst- CONTRACT,Correlate Resources,N/A,Sydney NSW,Developers/Programmers (Information & Communication Technology),Contract/Temp,r SAs,2024-10-22,https://www.seek.com.au/job/79569089?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer,Correlate Resources,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R ETL AWS ml ai r analytics Python excel,2024-10-22,https://www.seek.com.au/job/79650815?type=standout&ref=search-standalone&origin=cardTitle
